Global Volcanism Program - Volcanoes of the World 5.2.2,,,Basic List of Holocene Volcanoes,,Downloaded on 17 Sep 2024 at 03:26 AM,,,,,,,,
Volcano Number,Volcano Name,Country,Volcanic Region,Volcanic Province,Volcano Landform,Primary Volcano Type,Activity Evidence,Last Known Eruption,Latitude,Longitude,Elevation (m),Tectonic Setting,Dominant Rock Type
210010,West Eifel Volcanic Field,Germany,European Volcanic Regions,Central European Province,Cluster,Volcanic field,Eruption Dated,8300 BCE,50.17,6.85,600,Rift zone / Continental crust (>25 km),Foidite
210020,Chaine des Puys,France,European Volcanic Regions,Western European Province,Cluster,Lava dome(s),Eruption Dated,4040 BCE,45.786,2.981,1464,Rift zone / Continental crust (>25 km),Basalt / Picro-Basalt
210030,Olot Volcanic Field,Spain,European Volcanic Regions,Western European Province,Cluster,Volcanic field,Evidence Credible,Unknown,42.17,2.53,893,Intraplate / Continental crust (>25 km),Trachybasalt / Tephrite Basanite
210040,Calatrava Volcanic Field,Spain,European Volcanic Regions,Western European Province,Cluster,Volcanic field,Eruption Dated,3600 BCE,38.87,-4.02,1117,Intraplate / Continental crust (>25 km),Basalt / Picro-Basalt
211004,Colli Albani,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,Caldera,Caldera,Evidence Uncertain,Unknown,41.7569,12.7251,949,Subduction zone / Continental crust (>25 km),Foidite
211010,Campi Flegrei,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,Caldera,Caldera,Eruption Observed,1538 CE,40.827,14.139,458,Subduction zone / Continental crust (>25 km),Trachyte / Trachydacite
211020,Vesuvius,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,Composite,Stratovolcano,Eruption Observed,1944 CE,40.821,14.426,1281,Subduction zone / Continental crust (>25 km),Phono-tephrite /  Tephri-phonolite
211030,Ischia,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,Composite,Complex,Eruption Observed,1302 CE,40.73,13.897,789,Subduction zone / Continental crust (>25 km),Trachyte / Trachydacite
211031,Palinuro,Italy,European Volcanic Regions,Aeolian Volcanic Arc,Composite,Compound,Eruption Dated,8040 BCE,39.48,14.83,-70,Subduction zone / Continental crust (>25 km),Phonolite
211040,Stromboli,Italy,European Volcanic Regions,Aeolian Volcanic Arc,Composite,Stratovolcano,Eruption Observed,2024 CE,38.789,15.213,924,Subduction zone / Continental crust (>25 km),Trachyandesite / Basaltic Trachyandesite
211041,Panarea,Italy,European Volcanic Regions,Aeolian Volcanic Arc,Composite,Stratovolcano,Evidence Uncertain,Unknown,38.638,15.064,399,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
211042,Lipari,Italy,European Volcanic Regions,Aeolian Volcanic Arc,Composite,Stratovolcano(es),Eruption Dated,1230 CE,38.49,14.933,590,Subduction zone / Continental crust (>25 km),Rhyolite
211050,Vulcano,Italy,European Volcanic Regions,Aeolian Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,1890 CE,38.404,14.962,500,Subduction zone / Continental crust (>25 km),Trachybasalt / Tephrite Basanite
211060,Etna,Italy,European Volcanic Regions,Sicily Volcanic Province,Composite,Stratovolcano(es),Eruption Observed,2024 CE,37.748,14.999,3357,Subduction zone / Continental crust (>25 km),Trachybasalt / Tephrite Basanite
211070,Campi Flegrei del Mar di Sicilia,Italy,European Volcanic Regions,Sicily Volcanic Province,Cluster,Volcanic field,Eruption Observed,1867 CE,37.1,12.7,-8,Rift zone / Continental crust (>25 km),Trachybasalt / Tephrite Basanite
211071,Pantelleria,Italy,European Volcanic Regions,Sicily Volcanic Province,Shield,Shield,Eruption Observed,1891 CE,36.77,12.02,836,Rift zone / Continental crust (>25 km),Rhyolite
211080,Marsili,Italy,European Volcanic Regions,Aeolian Volcanic Arc,Composite,Complex,Eruption Dated,1050 BCE,39.284,14.399,-779,,
212020,Methana,Greece,European Volcanic Regions,Hellenic Volcanic Arc,Minor (Basaltic),Lava dome(s),Eruption Observed,258 BCE,37.6186,23.3331,380,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite
212030,Milos,Greece,European Volcanic Regions,Hellenic Volcanic Arc,Composite,Stratovolcano(es),Eruption Dated,140 CE,36.699,24.439,751,Subduction zone / Continental crust (>25 km),Rhyolite
212040,Santorini,Greece,European Volcanic Regions,Hellenic Volcanic Arc,Shield,Shield(s),Eruption Observed,1950 CE,36.404,25.396,367,Subduction zone / Continental crust (>25 km),Dacite
212050,Nisyros,Greece,European Volcanic Regions,Hellenic Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1888 CE,36.5888,27.1553,698,Subduction zone / Continental crust (>25 km),Dacite
213000,Kula,Turkiye,European Volcanic Regions,Western Anatolian Volcanic Province,Cluster,Volcanic field,Evidence Credible,Unknown,38.58,28.52,750,Intraplate / Continental crust (>25 km),Trachybasalt / Tephrite Basanite
